snr_threshold_db,seed,pd
7,23,0.9744225997327735
7,24,0.8954689146469968
7,25,0.9661614381388791
7,26,0.9510461902881958
7,27,0.5411875146679184
7,28,0.8667944417824629
7,29,0.9484115418245409
9,0,0.681
9,1,0.7037713905964446
9,2,0.8589420654911839
9,3,0.8988456865127582
9,4,0.7409494535519126
9,5,0.8408880666049954
9,6,0.7246989912137975
9,7,0.8636495503336235
9,8,0.8556652562294311
9,9,0.8858158830501778
9,10,0.8821572820147303
9,11,0.7958596894767107
9,12,0.8899082568807339
9,13,0.632183908045977
9,14,0.9374185136897001
9,15,0.8657751362060426
9,16,0.7765168048886949
9,17,0.9411193788417987
9,18,0.9533936651583711
9,19,0.8585572842998586
9,20,0.7070457354758962
9,21,0.9380281690140845
9,22,0.9547573347957226
9,23,0.950753960679519
9,24,0.8214963119072708
9,25,0.9464222770532252
9,26,0.9186735096723253
9,27,0.40741609950715796
9,28,0.7925251557259224
9,29,0.9163509180996794
11,0,0.6144
11,1,0.5839840505067287
11,2,0.7753606594916419
11,3,0.8320170109356014
11,4,0.6680327868852459
11,5,0.7989515880357694
11,6,0.6410673608851285
11,7,0.8067885117493473
11,8,0.7870239774330042
11,9,0.8387988937178981
11,10,0.8218104062722738
11,11,0.7009775733179988
11,12,0.8272608125819135
11,13,0.5412748171368861
11,14,0.8933507170795306
11,15,0.7818226844972759
11,16,0.7005674378000873
11,17,0.8964736331284374
11,18,0.9108597285067873
11,19,0.7736916548797736
11,20,0.6199011124845488
11,21,0.895774647887324
11,22,0.9155470249520153
11,23,0.9089520900935293
11,24,0.7169652265542676
11,25,0.9125837151921043
11,26,0.8539281484405843
11,27,0.3046233278573105
11,28,0.6938188787733589
11,29,0.8618478577674148
13,0,0.5468
13,1,0.461704602093371
13,2,0.6638424547744447
13,3,0.7417982989064399
13,4,0.6111680327868853
13,5,0.7536231884057971
13,6,0.5702896192645623
13,7,0.7510879025239339
13,8,0.6998119417019276
13,9,0.777558277360727
13,10,0.7436445711570444
13,11,0.6080122675867357
13,12,0.7349934469200524
13,13,0.4555903866248694
13,14,0.8234680573663624
13,15,0.6656760772659732
13,16,0.6084679179397643
13,17,0.8353283726949208
13,18,0.8610859728506788
13,19,0.6678116791270964
13,20,0.5135970333745364
13,21,0.8344528710725894
13,22,0.8522072936660269
13,23,0.8423363237259018
13,24,0.5833508956796628
13,25,0.851956291857596
13,26,0.7741808132649033
13,27,0.23257451302511148
13,28,0.5678006708193579
13,29,0.7843194403963859
15,0,0.4532
15,1,0.3580328958298721
15,2,0.5413327226929242
15,3,0.6139125151883353
15,4,0.5638661202185792
15,5,0.7008942337341967
15,6,0.5115522290920924
15,7,0.6771105308964317
15,8,0.60742830277386
15,9,0.6868826550770446
15,10,0.6402946067949632
15,11,0.517155453325666
15,12,0.6301441677588466
15,13,0.39080459770114945
15,14,0.727509778357236
15,15,0.5299653293709757
15,16,0.5146224356176342
15,17,0.7677127143319314
15,18,0.7846153846153846
15,19,0.5328349161446757
15,20,0.4054388133498146
15,21,0.7549295774647887
15,22,0.7663833287633671
15,23,0.7593052109181141
15,24,0.4505795574288725
15,25,0.7740571025731406
15,26,0.6644295302013423
15,27,0.18070875381365878
15,28,0.439865836128414
15,29,0.6855144272806762
17,0,0.3536
17,1,0.2787838511380628
17,2,0.4025646897183421
17,3,0.47448359659781286
17,4,0.5150273224043715
17,5,0.6392229417206291
17,6,0.45590628050764725
17,7,0.5955903684363214
17,8,0.5185707569346497
17,9,0.5721058870011853
17,10,0.5272036113090995
17,11,0.4289821736630247
17,12,0.5313237221494103
17,13,0.3265412748171369
17,14,0.6018252933507171
17,15,0.38781575037147104
17,16,0.41379310344827586
17,17,0.6839210611452604
17,18,0.6904977375565611
17,19,0.414831279046272
17,20,0.3003708281829419
17,21,0.6489707475622969
17,22,0.6616397038661914
17,23,0.6468791754151556
17,24,0.3302423603793467
17,25,0.6528022559041241
17,26,0.5416502171338334
17,27,0.14926073691621686
17,28,0.29707714422616194
17,29,0.5802972894199941
19,0,0.2574
19,1,0.22362518690812427
19,2,0.2763911151820472
19,3,0.3347509113001215
19,4,0.4571379781420765
19,5,0.572617946345976
19,6,0.3929384965831435
19,7,0.4795474325500435
19,8,0.42853784673248707
19,9,0.4440932437771632
19,10,0.4057971014492754
19,11,0.35652673950546293
19,12,0.4269986893840105
19,13,0.26802507836990597
19,14,0.44302477183833117
19,15,0.26968796433878156
19,16,0.319511130510694
19,17,0.585571012617276
19,18,0.571945701357466
19,19,0.30470802182259044
19,20,0.1965389369592089
19,21,0.543661971830986
19,22,0.5346860433232794
19,23,0.5100209963733537
19,24,0.23076923076923078
19,25,0.5100458230525202
19,26,0.4038689301223845
19,27,0.1220370804975358
19,28,0.1796837565884044
19,29,0.4657534246575342
21,0,0.1768
21,1,0.17876723708257186
21,2,0.17632241813602015
21,3,0.2244835965978129
21,4,0.38422131147540983
21,5,0.49645390070921985
21,6,0.3294825903026359
21,7,0.35364084711343197
21,8,0.32816173013634226
21,9,0.3146977479257211
21,10,0.2860536944642433
21,11,0.28177113283496263
21,12,0.3237221494102228
21,13,0.2142110762800418
21,14,0.2967405475880052
21,15,0.17904903417533433
21,16,0.22697512003491924
21,17,0.469103849886768
21,18,0.434841628959276
21,19,0.20286926651848858
21,20,0.11433868974042027
21,21,0.4353196099674973
21,22,0.40636139292569234
21,23,0.3605649933193357
21,24,0.15848261327713384
21,25,0.3651744800845964
21,26,0.28464271614686143
21,27,0.09997653133067355
21,28,0.10349784379492094
21,29,0.3564558437773244
