============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed= 6  round_robin             rate=0.322  reward=0.126
    seed= 6  random                  rate=0.316  reward=0.123
    seed= 6  wiql_ucb                rate=0.097  reward=0.037
    seed= 6  wiql_ucb_no_bias        rate=0.619  reward=0.243
    seed= 7  round_robin             rate=0.337  reward=0.170
    seed= 7  random                  rate=0.336  reward=0.170
    seed= 7  wiql_ucb                rate=0.080  reward=0.040
    seed= 7  wiql_ucb_no_bias        rate=0.362  reward=0.183
    seed= 8  round_robin             rate=0.322  reward=0.146
    seed= 8  random                  rate=0.325  reward=0.147
    seed= 8  wiql_ucb                rate=0.045  reward=0.020
    seed= 8  wiql_ucb_no_bias        rate=0.679  reward=0.309
    seed= 9  round_robin             rate=0.324  reward=0.131
    seed= 9  random                  rate=0.320  reward=0.129
    seed= 9  wiql_ucb                rate=0.174  reward=0.070
    seed= 9  wiql_ucb_no_bias        rate=0.536  reward=0.217
    seed=10  round_robin             rate=0.364  reward=0.155
    seed=10  random                  rate=0.365  reward=0.155
    seed=10  wiql_ucb                rate=0.190  reward=0.080
    seed=10  wiql_ucb_no_bias        rate=0.301  reward=0.128
    seed=11  round_robin             rate=0.339  reward=0.118
    seed=11  random                  rate=0.324  reward=0.112
    seed=11  wiql_ucb                rate=0.495  reward=0.172
    seed=11  wiql_ucb_no_bias        rate=0.460  reward=0.160
    seed=12  round_robin             rate=0.324  reward=0.113
    seed=12  random                  rate=0.330  reward=0.115
    seed=12  wiql_ucb                rate=0.506  reward=0.177
    seed=12  wiql_ucb_no_bias        rate=0.562  reward=0.197
    seed=13  round_robin             rate=0.240  reward=0.067
    seed=13  random                  rate=0.237  reward=0.066
    seed=13  wiql_ucb                rate=0.206  reward=0.058
    seed=13  wiql_ucb_no_bias        rate=0.496  reward=0.140
    seed=14  round_robin             rate=0.367  reward=0.186
    seed=14  random                  rate=0.365  reward=0.185
    seed=14  wiql_ucb                rate=0.151  reward=0.076
    seed=14  wiql_ucb_no_bias        rate=0.658  reward=0.334
    seed=15  round_robin             rate=0.356  reward=0.127
    seed=15  random                  rate=0.353  reward=0.126
    seed=15  wiql_ucb                rate=0.189  reward=0.067
    seed=15  wiql_ucb_no_bias        rate=0.658  reward=0.237
    seed=16  round_robin             rate=0.330  reward=0.088
    seed=16  random                  rate=0.345  reward=0.092
    seed=16  wiql_ucb                rate=0.084  reward=0.022
    seed=16  wiql_ucb_no_bias        rate=0.421  reward=0.112
    seed=17  round_robin             rate=0.365  reward=0.128
    seed=17  random                  rate=0.372  reward=0.130
    seed=17  wiql_ucb                rate=0.683  reward=0.239
    seed=17  wiql_ucb_no_bias        rate=0.877  reward=0.308
    seed=18  round_robin             rate=0.349  reward=0.103
    seed=18  random                  rate=0.359  reward=0.106
    seed=18  wiql_ucb                rate=0.288  reward=0.085
    seed=18  wiql_ucb_no_bias        rate=0.474  reward=0.141
    seed=19  round_robin             rate=0.299  reward=0.137
    seed=19  random                  rate=0.299  reward=0.137
    seed=19  wiql_ucb                rate=0.023  reward=0.010
    seed=19  wiql_ucb_no_bias        rate=0.444  reward=0.204
    seed=20  round_robin             rate=0.217  reward=0.047
    seed=20  random                  rate=0.214  reward=0.046
    seed=20  wiql_ucb                rate=0.366  reward=0.080
    seed=20  wiql_ucb_no_bias        rate=0.399  reward=0.087
    seed=21  round_robin             rate=0.353  reward=0.203
    seed=21  random                  rate=0.352  reward=0.203
    seed=21  wiql_ucb                rate=0.353  reward=0.204
    seed=21  wiql_ucb_no_bias        rate=0.642  reward=0.371
    seed=22  round_robin             rate=0.357  reward=0.168
    seed=22  random                  rate=0.351  reward=0.165
    seed=22  wiql_ucb                rate=0.600  reward=0.283
    seed=22  wiql_ucb_no_bias        rate=0.591  reward=0.279
    seed=23  round_robin             rate=0.348  reward=0.137
    seed=23  random                  rate=0.347  reward=0.136
    seed=23  wiql_ucb                rate=0.126  reward=0.049
    seed=23  wiql_ucb_no_bias        rate=0.535  reward=0.211
    seed=24  round_robin             rate=0.336  reward=0.118
    seed=24  random                  rate=0.345  reward=0.121
    seed=24  wiql_ucb                rate=0.474  reward=0.166
    seed=24  wiql_ucb_no_bias        rate=0.535  reward=0.188
    seed=25  round_robin             rate=0.345  reward=0.086
    seed=25  random                  rate=0.359  reward=0.090
    seed=25  wiql_ucb                rate=0.867  reward=0.218
    seed=25  wiql_ucb_no_bias        rate=0.603  reward=0.151
